Count,Date,Time,Lat,Long,Speed,Altitude,GSR,normalised_gsr,time_audio,rms,centroid_hz,bandwidth_hz,flatness
3080,27/5/2018,15:51:27,51.544003,-0.033011,3.33,7.5,500,-0.2869671038652477,22.53658536585366,85.08609201558987,2.4165951417428246,5.506282580547472,3.8493620344516573e-10
3081,27/5/2018,15:51:27,51.544003,-0.033011,3.33,8.0,502,-0.2473681160540093,22.543902439024393,80.25297149179636,2.399668708732478,5.4373540237320865,3.645441332909289e-10
3082,27/5/2018,15:51:28,51.543995,-0.033024,5.07,8.0,500,-0.2869671038652477,22.55121951219512,73.30285602735222,2.4371292629998655,5.481686758595931,4.085795049597938e-10
3083,27/5/2018,15:51:28,51.543995,-0.033024,5.07,7.5,504,-0.2077691282427709,22.558536585365854,65.13387996939565,2.505903144625556,5.591229722613733,4.897089992790359e-10
3084,27/5/2018,15:51:29,51.543983,-0.033038,4.54,7.5,502,-0.2473681160540093,22.565853658536586,56.96490391143908,2.5746770262512464,5.700772686631535,5.70838493598278e-10
3085,27/5/2018,15:51:29,51.543983,-0.033038,4.54,7.3,505,-0.18796963433715172,22.573170731707318,49.58300927154128,2.5828682406205523,5.983766445348216,9.26846898233257e-10
3086,27/5/2018,15:51:30,51.543976,-0.033052,3.37,7.3,505,-0.18796963433715172,22.58048780487805,43.12053717309259,2.5202903215576273,6.469375291677733,1.6039527910246487e-09
3087,27/5/2018,15:51:31,51.543968,-0.03306,4.46,7.3,508,-0.12857115262029412,22.587804878048782,36.65806507464391,2.457712402494702,6.95498413800725,2.2810586838160405e-09
3088,27/5/2018,15:51:31,51.543968,-0.03306,4.46,7.7,510,-0.08897216480905573,22.595121951219515,32.443260082384946,2.4655844720605944,7.364314014040354,2.726826259540734e-09
3089,27/5/2018,15:51:32,51.543961,-0.033064,3.87,7.7,504,-0.2077691282427709,22.602439024390247,33.789778481533354,2.647768462020251,7.584909526068358,2.600201602230168e-09
3090,27/5/2018,15:51:32,51.543961,-0.033064,3.87,7.3,507,-0.14837064652591334,22.609756097560975,35.1362968806811,2.8299524519798194,7.805505038096255,2.473576944919664e-09
